# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
1rfu,B,P82197,2.7.1.35
1rfu,C,P82197,2.7.1.35
1rfu,D,P82197,2.7.1.35
1rfu,E,P82197,2.7.1.35
1rfu,F,P82197,2.7.1.35
1rfu,G,P82197,2.7.1.35
1rfu,H,P82197,2.7.1.35
1rfv,A,P82197,2.7.1.35
1rfv,B,P82197,2.7.1.35
1rfx,A,Q99P87,?
1rfx,B,Q99P87,?
1rfx,C,Q99P87,?
1rfy,A,Q57471,?
1rfy,B,Q57471,?
1rfz,A,P84133,?
1rfz,B,P84133,?
1rfz,C,P84133,?
1rfz,D,P84133,?
1rg0,A,P17838,?
1rg0,B,P17838,?
1rg1,A,Q9NUW8,3.1.4.-
1rg1,B,Q9NUW8,3.1.4.-
1rg2,A,Q9NUW8,3.1.4.-
1rg2,B,Q9NUW8,3.1.4.-
1rg3,A,P07988,?
1rg4,A,P07988,?
1rg5,H,P0C0Y7,?
1rg5,L,P0C0Y8,?
1rg5,M,P0C0Y9,?
1rg6,A,Q9H3D4,?
1rg7,A,P0ABQ4,1.5.1.3
1rg8,A,P05230,?
1rg8,B,P05230,?
1rg9,A,P0A817,2.5.1.6
1rg9,B,P0A817,2.5.1.6
1rg9,C,P0A817,2.5.1.6
1rg9,D,P0A817,2.5.1.6
1rga,A,P00651,4.6.1.24
1rgb,A,P14420,3.1.1.4
1rgb,B,P14420,3.1.1.4
1rgb,K,P14420,3.1.1.4
1rgb,L,P14420,3.1.1.4
1rgc,A,P00651,4.6.1.24
1rgc,B,P00651,4.6.1.24
1rgd,A,P06536,?
1rge,A,P05798,4.6.1.24
1rge,B,P05798,4.6.1.24
1rgf,A,P05798,4.6.1.24
1rgf,B,P05798,4.6.1.24
1rgg,A,P05798,4.6.1.24
1rgg,B,P05798,4.6.1.24
1rgh,A,P05798,4.6.1.24
1rgh,B,P05798,4.6.1.24
1rgi,A,P68135,3.6.4.-
1rgi,G,Q28372,?
1rgj,A,P60615,?
1rgk,A,P00651,4.6.1.24
1rgl,A,P00651,4.6.1.24
1rgn,H,P0C0Y7,?
1rgn,L,P0C0Y8,?
1rgn,M,P0C0Y9,?
1rgo,A,P47974,?
1rgp,A,Q07960,?
1rgq,A,P27958,2.7.7.48
1rgq,A,P27958,3.4.21.98
1rgq,A,P27958,3.4.22.-
1rgq,A,P27958,3.6.1.15
1rgq,A,P27958,3.6.4.13
1rgq,B,P27958,2.7.7.48
1rgq,B,P27958,3.4.21.98
1rgq,B,P27958,3.4.22.-
1rgq,B,P27958,3.6.1.15
1rgq,B,P27958,3.6.4.13
1rgq,C,O39914,?
1rgq,D,O39914,?
1rgr,A,P31016,?
1rgs,A,P00514,2.7.1.37
1rgt,A,Q9NUW8,3.1.4.-
1rgt,B,Q9NUW8,3.1.4.-
1rgu,A,Q9NUW8,3.1.4.-
1rgu,B,Q9NUW8,3.1.4.-
1rgv,A,O88151,?
1rgw,A,O75112,?
1rgx,A,Q99P87,?
1rgx,B,Q99P87,?
1rgx,C,Q99P87,?
1rgy,A,P05193,3.5.2.6
1rgz,A,P05364,3.5.2.6
1rh0,A,Q9NUW8,3.1.4.-
1rh0,B,Q9NUW8,3.1.4.-
1rh1,A,P05819,?
1rh2,A,P01563,?
1rh2,B,P01563,?
1rh2,C,P01563,?
1rh2,D,P01563,?
1rh2,E,P01563,?
1rh2,F,P01563,?
1rh3,A,P0ABQ4,1.5.1.3
1rh5,A,Q60175,?
1rh5,B,Q57817,?
1rh5,C,P60460,?
1rh6,A,P03699,?
1rh6,B,P03699,?
1rh7,A,Q99P86,?
1rh7,B,Q99P86,?
1rh7,C,Q99P86,?
1rh7,D,Q99P86,?
1rh7,E,Q99P86,?
1rh7,F,Q99P86,?
1rh8,A,Q9JKS6,?
1rh9,A,Q8L5J1,3.2.1.78
1rha,A,P61823,4.6.1.18
1rhb,A,P61823,4.6.1.18
1rhc,A,O93734,1.1.99.-
1rhd,A,P00586,2.8.1.1
1rhf,A,Q06418,2.7.10.1
1rhf,B,Q06418,2.7.10.1
1rhg,A,P09919,?
1rhg,B,P09919,?
1rhg,C,P09919,?
1rhi,1,Q82081,2.7.7.48
1rhi,1,Q82081,3.4.22.28
1rhi,1,Q82081,3.4.22.29
1rhi,1,Q82081,3.6.1.15
1rhi,2,Q82081,2.7.7.48
1rhi,2,Q82081,3.4.22.28
1rhi,2,Q82081,3.4.22.29
1rhi,2,Q82081,3.6.1.15
1rhi,3,Q82081,2.7.7.48
1rhi,3,Q82081,3.4.22.28
1rhi,3,Q82081,3.4.22.29
1rhi,3,Q82081,3.6.1.15
1rhi,4,Q82081,2.7.7.48
1rhi,4,Q82081,3.4.22.28
1rhi,4,Q82081,3.4.22.29
1rhi,4,Q82081,3.6.1.15
1rhj,A,P42574,3.4.22.56
1rhj,B,P42574,3.4.22.56
1rhj,C,P42574,3.4.22.56
1rhj,D,P42574,3.4.22.56
1rhk,A,P42574,3.4.22.56
1rhk,B,P42574,3.4.22.56
1rhl,A,P00651,4.6.1.24
1rhm,A,P42574,3.4.22.56
1rhm,B,P42574,3.4.22.56
1rhm,C,P42574,3.4.22.56
1rhm,D,P42574,3.4.22.56
1rho,A,P52565,?
1rho,B,P52565,?
1rho,C,P52565,?
1rhp,A,P02776,?
1rhp,B,P02776,?
1rhp,C,P02776,?
1rhp,D,P02776,?
1rhq,A,P42574,3.4.22.56
1rhq,B,P42574,3.4.22.56
1rhq,D,P42574,3.4.22.56
1rhq,E,P42574,3.4.22.56
1rhr,A,P42574,3.4.22.56
1rhr,B,P42574,3.4.22.56
1rhs,A,P00586,2.8.1.1
1rhu,A,P42574,3.4.22.56
1rhu,B,P42574,3.4.22.56
1rhw,A,Q24117,?
1rhx,A,Q9X074,?
1rhy,A,P0CO22,4.2.1.19
1rhy,B,P0CO22,4.2.1.19
1rhz,A,Q60175,?
1rhz,B,Q57817,?
1rhz,C,P60460,?
1ri0,A,P51858,?
1ri1,A,Q8SR66,2.1.1.56
1ri2,A,Q8SR66,2.1.1.56
1ri3,A,Q8SR66,2.1.1.56
1ri4,A,Q8SR66,2.1.1.56
1ri5,A,Q8SR66,2.1.1.56
1ri6,A,P52697,3.1.1.31
1ri7,A,O59188,?
1ri8,B,P00698,3.2.1.17
1ri9,A,O15117,?
1rib,A,P69924,1.17.4.1
1rib,B,P69924,1.17.4.1
1rie,A,P13272,7.1.1.8
1rif,A,P20703,3.6.4.12
1rif,B,P20703,3.6.4.12
1rih,H,P01868,?
1rih,L,P01837,?
1rii,A,P9WIC9,5.4.2.11
1rii,B,P9WIC9,5.4.2.11
1rii,C,P9WIC9,5.4.2.11
1rii,D,P9WIC9,5.4.2.11
1ril,A,P29253,3.1.26.4
1rin,A,P02867,?
1rin,B,P02867,?
1rin,C,P02867,?
1rin,D,P02867,?
1rio,A,P03034,?
1rio,B,P03034,?
1rio,H,Q9EZJ8,?
1rip,A,P23828,?
1riq,A,O67323,6.1.1.7
1rir,A,P02872,?
1rir,B,P02872,?
1rir,C,P02872,?
1rir,D,P02872,?
1ris,A,P23370,?
1rit,A,P02872,?
1rit,B,P02872,?
1rit,C,P02872,?
1rit,D,P02872,?
1riw,A,P00734,3.4.21.5
1riw,B,P00734,3.4.21.5
1riw,C,P00734,3.4.21.5
1riw,D,P28504,?
1riy,A,P36206,?
1rj1,A,O49908,?
1rj2,A,Q64096,?
1rj2,D,Q64096,?
1rj2,G,Q64096,?
1rj2,J,Q64096,?
1rj4,A,O49908,?
1rj4,B,O49908,?
1rj4,C,O49908,?
1rj4,D,O49908,?
1rj5,A,Q9WVT6,4.2.1.1
1rj5,B,Q9WVT6,4.2.1.1
1rj6,A,Q9WVT6,4.2.1.1
1rj6,B,Q9WVT6,4.2.1.1
1rj7,A,Q92838,?
1rj7,B,Q92838,?
1rj7,D,Q92838,?
1rj7,E,Q92838,?
1rj7,F,Q92838,?
1rj7,G,Q92838,?
1rj7,H,Q92838,?
1rj7,I,Q92838,?
1rj7,J,Q92838,?
1rj7,K,Q92838,?
1rj7,L,Q92838,?
1rj7,M,Q92838,?
1rj8,A,Q92838,?
1rj8,B,Q92838,?
1rj8,D,Q92838,?
1rj8,E,Q92838,?
1rj8,F,Q92838,?
1rj8,G,Q92838,?
1rj9,A,P83749,3.6.5.4
1rj9,B,O07347,3.6.5.4
1rja,A,Q13882,2.7.10.2
1rjb,A,P36888,2.7.10.1
1rjc,B,P00698,3.2.1.17
1rjd,A,Q04081,2.1.1.233
1rjd,B,Q04081,2.1.1.233
1rjd,C,Q04081,2.1.1.233
1rje,A,Q04081,2.1.1.233
1rje,B,Q04081,2.1.1.233
1rje,C,Q04081,2.1.1.233
1rjf,A,Q04081,2.1.1.233
1rjf,B,Q04081,2.1.1.233
1rjf,C,Q04081,2.1.1.233
1rjg,A,Q04081,2.1.1.233
1rjh,A,P05452,?
1rji,A,Q7Z0H4,?
1rjj,A,Q9FK81,?
1rjj,B,Q9FK81,?
1rjk,A,P13053,?
1rjk,C,Q15648,?
1rjl,C,P17739,?
1rjm,A,P9WNP5,4.1.3.36
1rjm,B,P9WNP5,4.1.3.36
1rjm,C,P9WNP5,4.1.3.36
1rjn,A,P9WNP5,4.1.3.36
1rjn,B,P9WNP5,4.1.3.36
1rjn,C,P9WNP5,4.1.3.36
1rjo,A,P46881,1.4.3.21
1rjp,A,Q9AGH8,3.5.1.81
1rjq,A,Q9AGH8,3.5.1.81
1rjr,A,Q9AGH8,3.5.1.81
1rjt,A,O14625,?
1rjv,A,P20472,?
1rjw,A,P42328,1.1.1.1
1rjw,B,P42328,1.1.1.1
1rjw,C,P42328,1.1.1.1
1rjw,D,P42328,1.1.1.1
1rjx,B,P00747,3.4.21.7
1rjy,A,P01901,?
1rjy,B,P01887,?
1rjy,D,P01901,?
1rjy,E,P01887,?
1rjy,P,P06436,?
1rjy,Q,P06436,?
1rjz,A,P01901,?
1rjz,B,P01887,?
1rjz,D,P01901,?
1rjz,E,P01887,?
1rjz,P,P06436,?
1rjz,Q,P06436,?
1rk0,A,P01901,?
1rk0,B,P01887,?
1rk0,P,P06436,?
1rk1,A,P01901,?
1rk1,B,P01887,?
1rk1,P,P06436,?
1rk2,A,P0A9J6,2.7.1.15
1rk2,B,P0A9J6,2.7.1.15
1rk2,C,P0A9J6,2.7.1.15
1rk2,D,P0A9J6,2.7.1.15
1rk3,A,P13053,?
1rk3,C,Q15648,?
1rk4,A,O00299,?
1rk4,B,O00299,?
1rk5,A,Q9AGH8,3.5.1.81
1rk6,A,Q9AGH8,3.5.1.81
1rk7,A,P00441,1.15.1.1
1rk8,A,Q9V535,?
1rk8,B,P49028,?
1rk8,C,P82804,?
1rk9,A,P20472,?
1rka,A,P0A9J6,2.7.1.15
1rkb,A,Q9Y3D8,2.7.4.3
1rkc,A,P18206,?
1rkc,B,P54939,?
1rkd,A,P0A9J6,2.7.1.15
1rke,A,P18206,?
1rke,B,P18206,?
1rkg,A,P13053,?
1rkg,C,Q15648,?
1rkh,A,P13053,?
1rkh,C,Q15648,?
1rki,A,Q8ZYK2,?
1rki,B,Q8ZYK2,?
1rkj,A,P08199,?
1rkk,A,P14215,?
1rkl,A,Q99380,2.4.1.119
1rkm,A,P06202,?
1rkn,A,A5A520,3.1.31.1
1rkp,A,O76074,3.1.4.35
1rkq,A,P0A8Y5,3.1.3.23
1rkq,B,P0A8Y5,3.1.3.23
1rkr,A,P56547,?
1rkr,B,P56547,?
1rkr,C,P56547,?
1rkr,D,P56547,?
1rks,A,P0A9J6,2.7.1.15
1rkt,A,O31560,?
1rkt,B,O31560,?
1rku,A,Q9I2Y2,3.1.3.3
1rku,B,Q9I2Y2,3.1.3.3
1rkv,A,Q9I2Y2,3.1.3.3
1rkv,B,Q9I2Y2,3.1.3.3
1rkw,A,P0A0N4,?
1rkw,B,P0A0N4,?
1rkw,D,P0A0N4,?
1rkw,E,P0A0N4,?
1rkx,A,Q57329,4.2.1.45
1rkx,B,Q57329,4.2.1.45
1rkx,C,Q57329,4.2.1.45
1rkx,D,Q57329,4.2.1.45
1rky,A,Q96X16,1.4.3.-
1rl0,A,P24476,3.2.2.22
1rl1,A,Q9Y2Z0,?
1rl2,A,P04257,?
1rl2,B,P04257,?
1rl3,A,P00514,?
1rl3,B,P00514,?
1rl4,A,Q8I372,3.5.1.88
1rl4,B,Q8I372,3.5.1.88
1rl5,A,P01451,?
1rl6,A,P02391,?
1rl8,A,P03367,2.7.7.-
1rl8,A,P03367,2.7.7.49
1rl8,A,P03367,2.7.7.7
1rl8,A,P03367,3.1.-.-
1rl8,A,P03367,3.1.13.2
1rl8,A,P03367,3.1.26.13
1rl8,A,P03367,3.4.23.16
1rl8,B,P03367,2.7.7.-
1rl8,B,P03367,2.7.7.49
1rl8,B,P03367,2.7.7.7
1rl8,B,P03367,3.1.-.-
1rl8,B,P03367,3.1.13.2
1rl8,B,P03367,3.1.26.13
1rl8,B,P03367,3.4.23.16
1rl9,A,P51541,2.7.3.3
1rla,A,P07824,3.5.3.1
1rla,B,P07824,3.5.3.1
1rla,C,P07824,3.5.3.1
1rlb,A,P02766,?
1rlb,B,P02766,?
1rlb,C,P02766,?
1rlb,D,P02766,?
1rlb,E,P02753,?
1rlb,F,P02753,?
1rlc,L,P00876,4.1.1.39
1rlc,S,P69249,4.1.1.39
1rld,A,P00876,4.1.1.39
1rld,B,P00876,4.1.1.39
1rld,S,P69249,4.1.1.39
1rld,T,P69249,4.1.1.39
1rlf,A,Q61193,?
1rlg,A,O29494,?
1rlg,B,O29494,?
1rlh,A,Q9HII6,?
1rli,A,P96726,1.-.-.-
1rli,B,P96726,1.-.-.-
1rli,C,P96726,1.-.-.-
1rli,D,P96726,1.-.-.-
1rlj,A,P50618,?
1rlk,A,Q9HLW6,3.1.1.29
1rlm,A,P75792,3.1.3.23
1rlm,B,P75792,3.1.3.23
1rlm,C,P75792,3.1.3.23
1rlm,D,P75792,3.1.3.23
1rlo,A,P75792,3.1.3.23
1rlo,B,P75792,3.1.3.23
1rlo,C,P75792,3.1.3.23
1rlo,D,P75792,3.1.3.23
1rlp,C,P00523,2.7.10.2
1rlq,C,P00523,2.7.10.2
1rlr,A,P00452,1.17.4.1
1rls,A,P00651,4.6.1.24
1rlt,A,P75792,3.1.3.23
1rlt,B,P75792,3.1.3.23
1rlt,C,P75792,3.1.3.23
1rlt,D,P75792,3.1.3.23
1rlu,A,P9WN95,?
1rlu,B,P9WN95,?
1rlv,A,O29362,4.6.1.16
1rlv,B,O29362,4.6.1.16
1rlw,A,P47712,3.1.1.4
1rlw,A,P47712,3.1.1.5
1rly,A,Q00403,2.3.1.48
1rlz,A,P49366,2.5.1.46
1rm0,A,P11986,5.5.1.4
1rm0,B,P11986,5.5.1.4
1rm1,A,P13393,?
1rm1,B,P32774,?
1rm1,C,P32773,?
1rm3,A,P19866,1.2.1.13
1rm3,B,P19866,1.2.1.13
1rm3,O,P19866,1.2.1.13
1rm4,A,P19866,1.2.1.13
1rm4,B,P19866,1.2.1.13
1rm4,O,P19866,1.2.1.13
1rm5,A,P19866,1.2.1.13
1rm5,B,P19866,1.2.1.13
1rm5,O,P19866,1.2.1.13
1rm6,A,O33819,1.1.7.1
1rm6,B,O33820,1.1.7.1
1rm6,C,O33818,1.1.7.1
1rm6,D,O33819,1.1.7.1
1rm6,E,O33820,1.1.7.1
1rm6,F,O33818,1.1.7.1
1rm8,A,P51512,3.4.24.-
1rm9,A,P42212,?
1rmd,A,P15919,2.3.2.27
1rmd,A,P15919,3.1.-.-
1rmg,A,Q00001,3.2.1.171
1rmh,A,P62937,5.2.1.8
1rmh,B,P62937,5.2.1.8
1rmj,A,P24592,?
1rmk,A,Q26443,?
1rml,A,P05230,?
1rmm,A,P42212,?
1rmo,A,P42212,?
1rmp,A,P42212,?
1rmq,A,P0AE22,3.1.3.2
1rmq,B,P0AE22,3.1.3.2
1rmr,A,P83658,?
1rms,A,P00653,4.6.1.24
1rmt,A,P0AE22,3.1.3.2
1rmt,B,P0AE22,3.1.3.2
1rmt,C,P0AE22,3.1.3.2
1rmt,D,P0AE22,3.1.3.2
1rmu,1,P03303,2.7.7.48
1rmu,1,P03303,3.4.22.28
1rmu,1,P03303,3.4.22.29
1rmu,1,P03303,3.6.1.15
1rmu,2,P03303,2.7.7.48
1rmu,2,P03303,3.4.22.28
1rmu,2,P03303,3.4.22.29
1rmu,2,P03303,3.6.1.15
1rmu,3,P03303,2.7.7.48
1rmu,3,P03303,3.4.22.28
1rmu,3,P03303,3.4.22.29
1rmu,3,P03303,3.6.1.15
1rmu,4,P03303,2.7.7.48
1rmu,4,P03303,3.4.22.28
1rmu,4,P03303,3.4.22.29
1rmu,4,P03303,3.6.1.15
1rmv,A,P03580,?
1rmy,A,P0AE22,3.1.3.2
1rmy,B,P0AE22,3.1.3.2
1rmz,A,P39900,3.4.24.65
1rn1,A,P00651,4.6.1.24
1rn1,B,P00651,4.6.1.24
1rn1,C,P00651,4.6.1.24
1rn4,A,P00651,4.6.1.24
1rn7,A,P28325,?
1rn8,A,P06968,3.6.1.23
1rnb,A,P00648,3.1.27.-
1rnc,A,P61823,4.6.1.18
1rnd,A,P61823,4.6.1.18
1rne,A,P00797,3.4.23.15
1rnf,A,P34096,3.1.27.-
1rnf,B,P34096,3.1.27.-
1rnh,A,P0A7Y4,3.1.26.4
1rni,A,Q54324,?
1rnj,A,P06968,3.6.1.23
1rnl,A,P0AF28,?
1rnm,E,P61823,4.6.1.18
1rnn,E,P61823,4.6.1.18
1rno,A,P61823,4.6.1.18
1rnq,A,P61823,4.6.1.18
1rnr,A,P69924,1.17.4.1
1rnr,B,P69924,1.17.4.1
1rnt,A,P00651,4.6.1.24
1rnu,A,P61823,4.6.1.18
1rnv,A,P61823,4.6.1.18
1rnw,A,P61823,4.6.1.18
1rnx,A,P61823,4.6.1.18
1rny,A,P61823,4.6.1.18
1rnz,A,P61823,4.6.1.18
1ro0,A,Q54324,?
1ro2,A,Q54324,?
1ro3,A,P17347,3.4.24.-
1ro4,A,Q00403,2.3.1.48
1ro5,A,P33883,2.3.1.184
1ro6,A,Q07343,3.1.4.53
1ro6,B,Q07343,3.1.4.53
1ro7,A,Q9LAK3,2.4.99.-
1ro7,B,Q9LAK3,2.4.99.-
1ro7,C,Q9LAK3,2.4.99.-
1ro7,D,Q9LAK3,2.4.99.-
1ro8,A,Q9LAK3,2.4.99.-
1ro8,B,Q9LAK3,2.4.99.-
1ro9,A,Q07343,3.1.4.53
1ro9,B,Q07343,3.1.4.53
1roa,A,P28325,?
1rob,A,P61823,4.6.1.18
1roc,A,P32447,?
1rod,A,P10145,?
1rod,B,P10145,?
1roe,A,P0A3C9,?
1rof,A,P46797,?
1rom,A,P23295,1.7.1.14
1ron,A,P01303,?
1roo,A,P29187,?
1rop,A,P03051,?
1ror,A,Q07343,3.1.4.53
1ror,B,Q07343,3.1.4.53
1ros,A,P39900,3.4.24.65
1ros,B,P39900,3.4.24.65
1rot,A,P27124,5.2.1.8
1rou,A,P27124,5.2.1.8
1rov,A,P09186,1.13.11.58
1row,A,O01829,?
1row,B,O01829,?
1roz,A,P49366,2.5.1.46
1roz,B,P49366,2.5.1.46
1rp0,A,Q38814,2.4.2.60
1rp0,B,Q38814,2.4.2.60
1rp1,A,P06857,3.1.1.3
1rp3,A,O67268,?
1rp3,B,O66683,?
1rp3,C,O67268,?
1rp3,D,O66683,?
1rp3,E,O67268,?
1rp3,F,O66683,?
1rp3,G,O67268,?
1rp3,H,O66683,?
1rp4,A,Q03103,1.8.4.-
1rp5,A,P14677,3.4.-.-
1rp5,B,P14677,3.4.-.-
1rp7,A,P0AFG8,1.2.4.1
1rp7,B,P0AFG8,1.2.4.1
1rp8,A,P00693,3.2.1.1
1rp9,A,P00693,3.2.1.1
1rpa,A,P20646,3.1.3.2
1rpa,A,P20646,3.1.3.48
1rpa,A,P20646,3.1.3.5
1rpb,A,P37046,?
1rpc,A,P37046,?
1rpe,L,P16117,?
1rpe,R,P16117,?
1rpf,A,P61823,4.6.1.18
1rpg,A,P61823,4.6.1.18
1rph,A,P61823,4.6.1.18
1rpi,A,Q9QM22,3.4.23.16
1rpi,B,Q9QM22,3.4.23.16
1rpj,A,P39265,?
1rpk,A,P00693,3.2.1.1
1rpl,A,P06766,2.7.7.7
1rpl,A,P06766,4.2.99.-
1rpl,A,P06766,4.2.99.18
1rpm,A,P28827,3.1.3.48
1rpm,B,P28827,3.1.3.48
1rpn,A,Q51366,4.2.1.47
1rpn,B,Q51366,4.2.1.47
1rpn,C,Q51366,4.2.1.47
1rpn,D,Q51366,4.2.1.47
1rpo,A,P03051,?
1rpq,A,P12319,?
1rpq,B,P12319,?
1rpq,C,P12319,?
1rpq,D,P12319,?
1rpr,A,P03051,?
1rpr,B,P03051,?
1rps,A,P69905,?
1rps,B,P68871,?
1rps,C,P69905,?
1rps,D,P68871,?
1rpt,A,P20646,3.1.3.2
1rpt,A,P20646,3.1.3.48
1rpt,A,P20646,3.1.3.5
1rpu,A,Q66104,?
1rpu,B,Q66104,?
1rpv,A,P04325,?
1rpw,A,P0A0N4,?
1rpw,B,P0A0N4,?
1rpw,C,P0A0N4,?
1rpw,D,P0A0N4,?
1rpx,A,Q43843,5.1.3.1
1rpx,B,Q43843,5.1.3.1
1rpx,C,Q43843,5.1.3.1
1rpy,A,Q9Z200,?
1rpy,B,Q9Z200,?
1rpz,A,P06855,2.7.1.78
1rpz,A,P06855,3.1.3.34
1rq0,A,Q9X183,?
1rq0,B,Q9X183,?
1rq0,C,Q9X183,?
1rq1,A,Q03103,1.8.4.-
1rq2,A,P9WN95,?
1rq2,B,P9WN95,?
1rq3,A,P69905,?
1rq3,B,P68871,?
1rq3,C,P69905,?
1rq3,D,P68871,?
1rq4,A,P69905,?
1rq4,B,P68871,?
1rq4,C,P69905,?
1rq4,D,P68871,?
1rq5,A,Q59325,3.2.1.-
1rq6,A,O26894,?
1rq7,A,P9WN95,?
1rq7,B,P9WN95,?
1rq8,A,A0A0H3JRP0,?
1rq9,A,Q5RTL1,3.4.23.16
1rq9,B,Q5RTL1,3.4.23.16
1rqa,A,P69905,?
1rqa,B,P68871,?
1rqa,C,P69905,?
1rqa,D,P68871,?
1rqb,A,Q70AC7,2.1.3.1
1rqc,A,Q8I372,3.5.1.88
1rqc,B,Q8I372,3.5.1.88
1rqc,C,Q8I372,3.5.1.88
1rqc,D,Q8I372,3.5.1.88
1rqc,E,Q8I372,3.5.1.88
1rqc,F,Q8I372,3.5.1.88
1rqc,G,Q8I372,3.5.1.88
1rqc,H,Q8I372,3.5.1.88
1rqc,I,Q8I372,3.5.1.88
1rqc,J,Q8I372,3.5.1.88
1rqd,A,P49366,2.5.1.46
1rqd,B,P49366,2.5.1.46
1rqe,A,Q70AC7,2.1.3.1
1rqf,A,P28021,2.7.1.37
1rqf,B,P28021,2.7.1.37
1rqf,D,P28021,2.7.1.37
1rqf,E,P28021,2.7.1.37
1rqf,G,P28021,2.7.1.37
1rqf,H,P28021,2.7.1.37
1rqf,J,P28021,2.7.1.37
1rqf,K,P28021,2.7.1.37
1rqg,A,Q9V011,6.1.1.10
1rqh,A,Q70AC7,2.1.3.1
1rqi,A,P22939,2.5.1.10
1rqi,B,P22939,2.5.1.10
1rqj,A,P22939,2.5.1.10
1rqj,B,P22939,2.5.1.10
1rqk,H,P0C0Y7,?
1rqk,L,P0C0Y8,?
1rqk,M,P0C0Y9,?
1rql,A,O31156,3.11.1.1
1rql,B,O31156,3.11.1.1
1rqm,A,P80579,?
1rqn,A,O31156,3.11.1.1
1rqn,B,O31156,3.11.1.1
1rqp,A,Q70GK9,2.5.1.63
1rqp,B,Q70GK9,2.5.1.63
1rqp,C,Q70GK9,2.5.1.63
1rqq,A,P06213,2.7.10.1
1rqq,B,P06213,2.7.10.1
1rqq,C,Q9Z200,?
1rqq,D,Q9Z200,?
1rqr,A,Q70GK9,2.5.1.63
1rqr,B,Q70GK9,2.5.1.63
1rqr,C,Q70GK9,2.5.1.63
1rqs,A,P0A7K2,?
1rqt,A,P0A7K2,?
1rqt,B,P0A7K2,?
1rqu,A,P0A7K2,?
1rqu,B,P0A7K2,?
1rqv,A,P0A7K2,?
1rqv,B,P0A7K2,?
1rqw,A,P02883,?
1rqx,A,Q00740,3.5.99.7
1rqx,B,Q00740,3.5.99.7
1rqx,C,Q00740,3.5.99.7
1rqx,D,Q00740,3.5.99.7
1rr2,A,Q70AC7,2.1.3.1
1rr6,A,P00491,2.4.2.1
1rr7,A,P23848,?
1rr8,C,P11387,5.6.2.1
1rr9,A,P0A9M0,3.4.21.53
1rr9,B,P0A9M0,3.4.21.53
1rr9,C,P0A9M0,3.4.21.53
1rr9,D,P0A9M0,3.4.21.53
1rr9,E,P0A9M0,3.4.21.53
1rr9,F,P0A9M0,3.4.21.53
1rra,A,P00684,4.6.1.18
1rrb,A,P11345,2.7.11.1
1rrc,A,P06855,2.7.1.78
1rrc,A,P06855,3.1.3.34
1rre,A,P0A9M0,3.4.21.53
1rre,B,P0A9M0,3.4.21.53
1rre,C,P0A9M0,3.4.21.53
1rre,D,P0A9M0,3.4.21.53
1rre,E,P0A9M0,3.4.21.53
1rre,F,P0A9M0,3.4.21.53
1rrf,A,P84079,3.6.5.2
1rrg,A,P84079,3.6.5.2
1rrg,B,P84079,3.6.5.2
1rrh,A,P09186,1.13.11.58
1rri,A,P56740,4.1.2.25
1rri,A,P56740,5.1.99.8
1rrj,A,P11387,5.6.2.1
1rrk,A,P00751,3.4.21.47
1rrl,A,P09186,1.13.11.58
1rrl,B,P09186,1.13.11.58
1rrm,A,P0A9S1,1.1.1.77
1rrm,B,P0A9S1,1.1.1.77
1rro,A,P02631,?
1rrp,A,P62826,3.6.5.-
1rrp,B,P49792,2.3.2.-
1rrp,C,P62826,3.6.5.-
1rrp,D,P49792,2.3.2.-
1rrq,A,P83847,3.2.2.31
1rrs,A,P83847,3.2.2.31
1rrv,A,Q9AFC7,2.4.1.322
1rrv,B,Q9AFC7,2.4.1.322
1rrw,A,P56740,4.1.2.25
1rrw,A,P56740,5.1.99.8
1rrx,A,P42212,?
1rry,A,P56740,4.1.2.25
1rry,A,P56740,5.1.99.8
1rrz,A,P26649,?
1rs0,A,P00751,3.4.21.47
1rs2,A,P56740,4.1.2.25
1rs2,A,P56740,5.1.99.8
1rs4,A,P56740,4.1.2.25
1rs4,A,P56740,5.1.99.8
1rs6,A,P29476,1.14.13.39
1rs6,B,P29476,1.14.13.39
1rs7,A,P29476,1.14.13.39
1rs7,B,P29476,1.14.13.39
1rs8,A,P29473,1.14.13.39
1rs8,B,P29473,1.14.13.39
1rs9,A,P29473,1.14.13.39
1rs9,B,P29473,1.14.13.39
1rsc,A,P00880,4.1.1.39
1rsc,B,P00880,4.1.1.39
1rsc,C,P00880,4.1.1.39
1rsc,D,P00880,4.1.1.39
1rsc,E,P00880,4.1.1.39
1rsc,F,P00880,4.1.1.39
1rsc,G,P00880,4.1.1.39
1rsc,H,P00880,4.1.1.39
1rsc,I,P04716,4.1.1.39
1rsc,J,P04716,4.1.1.39
1rsc,K,P04716,4.1.1.39
1rsc,L,P04716,4.1.1.39
1rsc,M,P04716,4.1.1.39
1rsc,N,P04716,4.1.1.39
1rsc,O,P04716,4.1.1.39
1rsc,P,P04716,4.1.1.39
1rsd,A,P56740,4.1.2.25
1rsd,A,P56740,5.1.99.8
1rse,A,P68082,?
1rsf,A,P78310,?
1rsg,A,P50264,1.5.3.17
1rsg,B,P50264,1.5.3.17
1rsi,A,P56740,4.1.2.25
1rsi,A,P56740,5.1.99.8
1rsm,A,P61823,4.6.1.18
1rsn,A,P05798,4.6.1.24
1rsn,B,P05798,4.6.1.24
